,0
TKI-pretreated,1
ALK(+),5
"NSCLC,",1
approval,1
ROS1(+),4
pending.,1
largest,1
real-world,1
NSCLC,4
harboring,1
rearrangements,1
"lorlatinib.
",1
123,2
enrolled,3
retrospectively,1
(data,2
cut-off,1
1/1/2019).,1
program,1
therapy.,1
Outcome,1
defined,1
investigator,1
upon,1
RECIST,1
1.1,1
"criteria.
",1
106,1
8,3
countries.,1
included,2
"males,",2
73,1
never-smokers,2
metastases.,3
Extracranial,1
(EC),1
intracranial,2
(IC),1
rates,2
(RR),1
60,1
62,2
"%,",1
control,3
(DCR),1
91,1
88,1
Mean,1
(DoT),1
23.9 ± 1.6,1
(mOS),1
89.1 ± 19.6,1
ROS1,1
53,1
65,2
EC,1
IC,1
RR,1
67,1
DCR,1
92,1
78,1
DoT,2
18.1 ± 2.5,1
mOS,3
90.3 ± 24.4,1
significantly,3
line,1
parameters.,1
events,4
edema,1
(48,1
hyperlipidemia,1
(47,1
weight,1
gain,1
(25,1
fatigue,1
%).,1
CNS,1
1–2,2
"patients.
",1
shows,1
outstanding,1
EC/IC,1
ALK/ROS1(+),1
NSCLC.,2
89 ± 19,1
supports,1
90 ± 24,1
unprecedented,1
"NSCLC.
",1
Diabetes,2
mellitus,2
dysregulation,1
complications.,1
50%,1
diabetes,1
suffer,1
diabetic,5
"polyneuropathy,",1
involves,1
presence,3
nerve,7
dysfunction,3
symptoms.,1
new,2
synthetic,1
arginine-rich,2
exendin-4,1
(Peptide,1
D),1
complications,1
caused,1
"diabetes,",1
"neuropathy,",1
induced,1
administering,1
streptozotocin,1
(STZ).,1
Three,1
Peptide,4
D,4
"(0.1,",1
10 μg/kg).,1
Byetta®,2
(1 μg/kg),1
80,1
days.,1
Neuropathic,1
pain,1
tactile,3
allodynia.,2
STZ-treated,2
showed,3
allodynia,1
unlike,1
naïve,3
animals.,3
histological,1
diameter,2
sciatic,3
fibers,1
smaller,2
IHC,1
myelin,1
(MBP),1
Byetta®.,1
resulted,1
MBP,1
myelinated,1
fibers.,1
poly-arginine,1
peptides,1
promising,1
"polyneuropathies.
",1
pattern,1
auditory,4
preterm,3
children,13
"birth.
",1
"design
",1
longitudinal,1
"study.
",1
involved,1
271,1
aged,1
old.,1
Children,1
divided,2
groups:,2
70,1
birth,1
32–36,1
(Group,2
201,1
22–31,1
2).,1
Hearing,1
"ABR,",1
"ASSR,",1
"OAE,",1
behavioral,1
"audiometry,",1
pure,1
tone,1
audiometry.,1
"Additionally,",1
some,2
"children,",1
"CT,",1
"MRI,",1
GBJ2,1
evaluations,1
performed.,1
Assessments,1
hearing,7
3–4,2
times,4
year,4
under,2
age;,2
2–3,2
5,2
over,1
Infants,2
problems,1
examined,1
"life,",1
annual,1
examinations,1
"aged.
",1
SNHL,1
ANSD,2
(25.7%),1
64,1
(31.8%),1
Group,7
occurrence,1
assessment,2
(p > 0.05).,1
Further,1
children:,2
child,1
1.,1
Four,1
kinds,1
noted:,1
recovery,3
ANSD;,1
loss;,1
transformation,1
"SNHL,",1
vice,1
versa.,1
"factors,",1
discussed,2
"article.
",1
prematurely,1
born,3
tends,1
"unstable,",1
"infants,",1
deteriorate,1
improve.,1
before,3
weeks’,1
gestation,4
require,1
least,4
until,1
Caution,1
advised,1
cochlear,1
implantation,1
32,1
"age.
",1
"Introduction
",2
"II,",1
single-arm,1
ASCEND-3,1
ceritinib,3
anaplastic,1
lymphoma,1
kinase,1
(ALK),1
(ALKi)–naive,1
ALK-rearranged,1
lines,2
chemotherapy.,1
"Here,",3
final,1
"results.
",1
Eligible,1
(including,1
asymptomatic,1
neurologically,1
stable,1
metastases),1
oral,1
(750,1
"mg/day,",1
fasted).,1
primary,1
investigator-assessed,2
(ORR).,1
Secondary,1
points,2
Blinded,2
Independent,2
Committee–assessed,2
ORR;,1
investigator-,1
"rate,",2
"response,",3
(PFS);,1
(OS);,1
safety.,1
Exploratory,1
patient-reported,1
"outcomes.
",1
Of,2
124,1
"enrolled,",1
(98.4%),1
antineoplastic,1
medications,2
(31,1
[25.0%],1
"regimens),",1
49,1
(39.5%),1
baseline,2
cutoff:,1
January,1
"22,",1
2018),1
52.1,1
"(range,",1
48.4–60.1),1
ORR,1
67.7%,1
[CI]:,1
"58.8–75.9),",1
16.6,1
CI:,2
11.0–23.2).,1
51.3,1
42.7–55.3).,1
(all,2
"grades,",1
≥60%,1
all-causality),1
diarrhea,1
"(85.5%),",1
nausea,1
"(78.2%),",1
vomiting,1
(71.8%).,1
(14.5%),1
event,1
discontinuation.,1
Health-related,1
quality,1
maintained,1
"treatment.
",1
Ceritinib,1
prolonged,1
"OS,",1
"PFS,",1
chemotherapy-pretreated,1
(at,1
"lines),",1
ALKi-naive,1
ALK+,1
possibilities,1
angioprotection,1
osteonecrosis,1
given,3
bisphosphonates.,1
"experiment,",1
27,1
injected,1
saline;,1
zoledronic,4
acid,5
weeks;,1
"weeks,",1
added,1
doses,1
sulodexide,2
weeks.,2
After,1
constructed,1
teeth,1
extracted.,1
velocity,1
linear,1
periodontal,1
area,1
extracted,1
tooth,1
laser,1
high-frequency,1
Doppler,1
ultrasound,1
(with,1
vasoactive,1
substance,2
acetylcholine,1
3%,1
1min).,1
structure,1
bony,3
tissues,1
head,1
"tomography,",1
saline,2
microcirculation,4
use,1
acid.,1
mucous,4
membranes,3
"and,",1
greater,1
"extent,",1
tissue.,1
Zoledronic,1
causes,1
periosteal,1
"disorders,",1
includes,1
cellular,2
component,1
(impaired,1
endothelium-dependent,1
vasodilation,3
membrane,1
vessels),1
reducing,1
tissues.,1
"Sulodexide,",1
"however,",1
restoration,1
reduces,1
"osteonecrosis.
",1
subcortical,1
pathways,3
motor,6
spinal,6
cord,4
injury,2
(SCI),2
animal,1
models.,1
descending,1
interlimb,3
lumbosacral,4
excitability,2
SCI,5
"humans.
",1
Ulnar,1
transcutaneous,1
electrical,2
condition-test,1
paradigm,1
connections,1
linking,2
cervical,1
segments,1
non-injured,1
(n=15),1
injured,1
(n=18),1
"participants.
",1
Potentiation,1
spinally,2
evoked,2
responses,3
(sEMRs),1
ulnar,2
7/7,1
volitional,3
leg,2
muscle,2
"activation,",2
6/11,1
activation.,1
"six,",1
sEMRs,1
rostral,1
innervation,1
entry,1
"zones.
",1
Descending,1
modulation,1
pools,1
via,2
projections,1
exist,1
despite,1
absence,1
"activation.
",1
"Significance
",1
Evaluation,1
"sub-clinical,",1
spared,1
residual,1
"function,",1
plasticity,1
"rehabilitation..
",1
Macrophages,2
participate,1
regulation,1
morphogenetic,1
placenta.,1
roles,5
unclear,1
placental,8
macrophages,6
(Hofbauer,1
cells).,1
characterize,1
steps,2
production,6
(intracellular,1
synthesis,1
secretion),1
compare,1
secretory,1
villous,2
"tissue.
",2
tissue,2
placentas,1
pregnancies,1
9–12,1
38–40,1
gestation.,1
Intracellular,1
determined,1
cytometry,1
antibodies.,1
Secreted,1
quantified,1
cytometric,1
bead,1
"ELISA.
",1
Two,2
patterns,6
macrophages.,1
Cytokines,2
"(IL-1,",1
"IL-8,",1
TNFα),1
basal,2
stimulated,1
endotoxin.,1
"(IL-11,",1
"IL-17A,",1
"IL-17F,",1
"TGF-β,",1
VEGF),1
constitutive,1
did,2
respond,1
stimulation.,1
age-dependent,1
observed:,1
secretion,3
TNFα,1
IL-8,1
IL-11,1
IL-17,1
third-trimester,1
first-trimester,1
cells.,1
Comparison,1
suggested,1
intraplacental,1
extraplacental,2
"production.
",1
"Discussion
",1
would,1
safe,1
assume,1
"production,",1
correspond,1
macrophages:,1
“immune”,1
“morphogenetic”.,1
attenuated,1
supposedly,1
local,1
"levels,",1
confined,1
Mutations,1
glucocerebrosidase,1
(GBA),1
cause,1
Gaucher,2
"(GD),",1
lysosomal,4
storage,1
disorder,1
"(LSD),",1
Parkinson's,4
(PD).,2
Lysosome,1
functionality,1
plays,1
extracellular,1
vesicles,2
(EVs),1
content.,1
EVs,4
GD,5
terms,1
"amounts,",1
"distribution,",1
cargo.,1
sequential,1
centrifugation,1
сryo-electron,1
microscopy,1
"(cryo-EM),",1
nanoparticle,1
tracking,1
"(NTA),",1
light,1
scattering,1
(DLS).,1
exosomal,3
HSP70,2
tetrasponins,1
cytometry.,1
Protein,1
profiling,2
mass-spectrometry,1
(shotgun,1
analysis).,1
morphology,1
exosomes,4
derived,1
cryo-EM,1
DLS,1
"(р<0.0001,",1
"p < 0.001,",1
confirmed,1
mode,1
NTA,1
(p < 0.02).,1
Cryo-EM,1
double,1
multilayer,1
enriched,1
surface,1
"(CD9,",1
"СD63,",1
CD81),1
exosome-associated,1
Proteomic,1
proteins,2
pathogenesis.,1
"Thus,",2
striking,1
alteration,1
"morphology.
",1
perform,1
postural,2
neuropsychiatric,2
tremor,2
"(ET),",1
"phenotypes,",1
combined,1
ET,6
"(ET-PD).
",1
169,1
(1.0–2.0),1
111,1
advanced,3
(2.5–3.0),1
Hoehn,1
Yahr,1
"scale,",1
26,1
ET-PD,3
study.,1
Motor,1
non-motor,1
standardized,2
scales,2
"stabilometry.
",1
ETPD,3
milder,1
parkinsonism,1
posture,1
walking,1
scales.,1
"ETPD,",1
PD.,1
Using,1
"stabilometry,",1
discovered,1
indexes,2
stabilometric,2
parameters,2
although,1
"ET.
",1
conducted,2
helpful,1
differential,2
diagnosis.,1
helps,1
expand,1
"ET-PD.
",1
recent,1
highlighted,1
autophagy,2
pathway,2
(ALP),1
Genes,1
GBA,1
"LRRK2,",1
harbor,1
mutations,1
ALP.,2
"α-synuclein,",1
encoded,1
SNCA,2
"gene,",1
degraded,1
mainly,1
"ALP,",2
mutations/multiplications,1
chaperone,1
ALP,3
functions.,1
PD-related,1
"genes,",1
"PRKN,",1
"PINK1,",1
"TMEM175,",1
"SMPD1,",1
"CTSD,",1
CTSB,1
"more,",1
Understanding,1
relationship,1
crucial,1
uncovering,1
long-awaited,1
neuroprotective,1
therapies.,1
"review,",1
will,3
"(other,",1
atypical,1
forms,1
"Parkinsonism,",1
review).,1
genes,3
"proteins,",1
"PD.
",1
elucidate,1
dynamical,3
complexity,3
impulse,1
sensory,2
neurons,5
emergence,2
antinociceptive,3
painful,1
stimulus.,1
solve,1
problem,1
bifurcation,1
enabled,1
us,1
relations,1
nociceptive,2
neuron,1
effect.,1
shown,1
mechanism,5
suppression,3
ectopic,1
bursting,1
discharges,2
base,1
neurons.,1
Under,1
potassium,1
"blocking,",1
connected,1
entirely,2
modification,1
activation,2
gating,1
NaV1.8,1
sodium,1
channels,1
action,2
comenic,1
non-opioid,1
analgesic,3
anoceptin.,1
explain,1
neuropathic,1
"pain.
",1
Metoclopramide,2
widely,1
abortive,1
migraine,2
advantage,1
having,1
"antiemetic,",1
properties.,1
metoclopramide,6
"migraine,",1
anti-cephalalgic,1
elucidated.,1
Taking,1
account,1
key,1
trigeminovascular,4
"pathophysiology,",1
investigate,1
neurogenic,2
dural,3
valid,1
electrophysiological,1
neurovascular,1
nociception.,1
Extracellular,1
recordings,1
second-order,1
dura-sensitive,1
trigeminocervical,1
(TCC),1
anaesthetised,1
Cumulative,1
infusion,2
(three,1
30 min,1
"intervals,",1
5 mg/kg,1
i.v.,2
"step,",2
n = 8),1
dose-dependently,1
suppressed,1
firing,1
TCC,1
"stimulation,",1
maximally,1
30%[0–49%],1
(median[Q1-Q3]),1
4%[0–30%],1
"level,",1
respectively,1
(both,1
"p = 0.001,",1
(n = 8)).,1
By,1
"contrast,",1
separate,1
cumulative,1
(5 mg/kg,1
n = 6),1
vehicle,1
(n = 6),1
p > 0.05).,1
unable,1
does,1
suppress,1
anti-migraine,1
action.,1
here,1
neurophysiological,1
therapeutic,1
"migraine.
",1
Exposure,1
lipopolysaccharidein,1
affects,1
disturbances,1
potentiation,1
functions,1
"rats,
",3
Intranasal,1
disrupts,1
metabolism,1
"hippocampus,
",1
"diseases,
",1
immunoassay,1
"pathogens,
",1
Biological,1
dynamics,1
simulation,1
"C60[C(COOH)2]3,
",1
checkpoints,1
predictor,1
"syndrome,
",1
Guidelines,1
TMS/tES,1
"pandemic,
",1
sclerosis:,1
"onset,
",1
Eight-year,1
"maculopathy,
",1
Haploidentical,2
Post-Transplantation,2
Cyclophosphamide,2
Cell,1
Acute,3
Lymphoblastic,1
Leukemia:,1
Report,1
European,2
Society,2
Blood,2
Marrow,2
Leukemia,2
Working,2
"Party,
",1
Design,1
drinkers,1
daily,1
"Russia,
",1
Mast,1
degranulation,1
release,1
influenza-sensitized,1
"mice,
",1
Altered,2
reversed,1
peripubertal,1
"treatment,
",1
Timing,1
Transplantation:,1
Comparative,1
Behalf,1
Party,1
"Transplantation,
",1
synucleinophaties,1
"dementia,
",1
ARCTIC:,1
"cancer☆,
",1
Establishing,1
major,1
population:,1
part,1
"values,
",1
Association,1
birthweight:,1
"meta-analysis,
",1
GLASS:,1
Global,1
Study:,1
real,1
"patients,
",1
Therapeutic,1
exenatide,1
neuropathy,1
Changes,1
premature,1
"study,
",1
Final,1
Overall,1
Survival,1
Other,1
Efficacy,1
Results,1
From,1
ASCEND-3:,1
Phase,1
II,1
of Ceritinib,1
ALKi-Naive,1
ALK-Rearranged,1
"NSCLC,
",1
Disorders,1
bisphosphonate,1
osteonecrosis:,1
Interlimb,1
"injury,
",1
"macrophages,
",1
"disease,
",1
Postural,1
instability,1
disturbance,1
overlapping,1
"Disease,
",1
Autophagy,1
disease;,1
"genetics,
",1
Mechanisms,1
"emergence,
",1
Influence,1
Trigeminovascular,1
Nociception:,1
Possible,1
Anti-migraine,1
Mechanism,1
"Action,
",1
